url,label
"https://example.com/search?q=python+tutorial",benign
"https://site.com/page?category=programming&lang=en",benign
"https://test.com/product?id=123&size=large",benign
"https://app.com/user?name=john&age=25",benign
"https://web.com/search?q=machine+learning",benign
"https://example.com/page?article=cybersecurity-basics",benign
"https://site.com/login?redirect=dashboard",benign
"https://test.com/product?category=electronics&brand=apple",benign
"https://app.com/search?q=data+science+course",benign
"https://web.com/page?id=456&view=details",benign
"https://example.com/user?profile=public&tab=about",benign
"https://site.com/search?q=web+development&sort=date",benign
"https://test.com/product?id=789&color=blue&size=medium",benign
"https://app.com/page?lang=en&region=us",benign
"https://web.com/search?q=artificial+intelligence",benign
"https://example.com/user?id=user123&settings=preferences",benign
"https://site.com/page?category=news&date=2024-01-01",benign
"https://test.com/product?search=laptop&price=1000",benign
"https://app.com/search?q=software+engineering",benign
"https://web.com/page?id=content&format=html",benign
"https://example.com/api/v1/users?limit=10&offset=0",benign
"https://site.com/blog/post?slug=tech-trends-2024",benign
"https://test.com/shop?category=books&author=smith",benign
"https://app.com/dashboard?tab=analytics&period=month",benign
"https://web.com/search?q=cloud+computing&type=courses",benign
